"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Jordan Pacheco","Diamondbacks","33","138","129","32","7","1","1","11","12","7","20","1","1","1",".250",".291",".338",".629",".280","-1.3","-0.1","-0.1","2677"
"Anthony Recker","Mets","19","79","71","15","3","0","3","8","9","6","24","0","1","1",".207",".269",".360",".629",".280","-0.2","-0.2","0.2","4063"
"Tim Federowicz","Padres","30","128","117","26","6","0","3","12","12","9","33","1","0","0",".224",".280",".346",".626",".278","0.8","-0.1","0.4","8609"
"Gerald Laird","Diamondbacks","17","70","63","15","3","0","1","6","6","5","12","1","0","0",".233",".297",".320",".617",".277","-0.3","-0.1","0.1","1698"
"James McCann","Tigers","8","32","30","7","2","0","0","3","3","1","6","0","0","0",".242",".278",".345",".623",".277","0.2","0.0","0.1","12859"
"Tomas Telis","Rangers","8","32","30","8","1","0","0","3","3","1","4","0","0","0",".253",".280",".341",".620",".274","-0.1","0.0","0.0","10067"
"Adrian Nieto","White Sox","15","64","58","12","2","0","1","6","6","5","18","0","1","0",".214",".279",".329",".609",".274","-0.5","-0.1","0.1","10294"
"Austin Romine","Yankees","15","64","59","13","3","0","1","6","6","4","13","0","0","0",".228",".277",".338",".615",".274","-0.2","0.0","0.1","5491"
"Francisco Pena","Royals","8","32","30","7","1","0","1","3","4","1","6","0","0","0",".224",".262",".358",".621",".274","0.2","-0.1","0.1","8298"
"Curt Casali","Rays","23","96","85","18","4","0","1","9","8","8","23","1","0","0",".211",".289",".310",".599",".273","-0.1","-0.1","0.3","12510"
"Tucker Barnhart","Reds","8","32","29","7","1","0","0","3","3","2","5","0","0","0",".230",".288",".320",".608",".273","0.3","0.0","0.1","10200"
"Hector Sanchez","Giants","8","32","30","7","1","0","1","3","4","2","8","0","0","0",".230",".273",".341",".614",".272","-0.1","-0.1","0.1","10289"
"Chris Herrmann","Twins","15","64","58","13","2","0","1","6","5","5","14","0","1","0",".220",".284",".320",".604",".270","-0.2","-0.1","0.1","9284"
"Bryan Holaday","Tigers","46","192","176","41","8","1","2","17","17","10","37","2","1","1",".233",".278",".325",".604",".270","-0.2","-0.2","0.3","11287"
