"","X","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"134",507,"Brett Lawrie","third_base",463,59,16,60,6,0.263,4.1,15.44
"135",4,"Wil Myers","outfield",493,60,18,62,8,0.247,4.05,15.26
"136",673,"Billy Butler","dh",531,68,15,71,1,0.274,4.02,15.17
"137",76,"Yasmani Grandal","catcher",386,48,13,51,2,0.241,3.83,14.54
"138",402,"Erick Aybar","shortstop",575,66,8,59,15,0.271,3.83,14.53
"139",786,"Lorenzo Cain","outfield",537,60,8,55,21,0.267,3.8,14.43
"140",146,"Mike Zunino","catcher",412,49,19,55,3,0.219,3.76,14.32
"141",439,"Starlin Castro","shortstop",530,63,12,60,8,0.274,3.76,14.31
"142",100,"Joc Pederson","outfield",499,62,20,64,19,0.225,3.75,14.26
"143",134,"Javier Baez","second_base",473,63,23,58,12,0.221,3.65,13.95
"144",564,"Carlos Beltran","outfield",414,56,17,58,3,0.26,3.64,13.92
"145",377,"J.J. Hardy","shortstop",570,64,17,65,2,0.253,3.62,13.85
"146",109,"Maikel Franco","third_base",542,59,19,63,3,0.244,3.61,13.82
"147",280,"Lucas Duda","first_base",534,69,24,75,3,0.234,3.58,13.7
"148",795,"Logan Morrison","first_base",514,67,20,70,5,0.254,3.57,13.68
"149",104,"Carl Crawford","outfield",461,56,11,51,19,0.273,3.53,13.56
"150",766,"Jason Castro","catcher",416,49,12,50,2,0.23,3.45,13.31
"151",48,"Jedd Gyorko","second_base",524,60,19,66,4,0.24,3.38,13.07
"152",461,"Curtis Granderson","outfield",465,61,19,56,6,0.222,3.28,12.75
"153",486,"Luis Valbuena","third_base",499,61,14,58,3,0.239,3.26,12.67
"154",872,"Michael Saunders","outfield",419,58,14,54,10,0.248,3.21,12.51
"155",24,"Danny Santana","outfield",484,59,7,42,18,0.261,3.21,12.49
"156",505,"Jon Jay","outfield",475,56,6,47,8,0.278,3.19,12.43
"157",91,"Nick Castellanos","third_base",487,56,13,59,4,0.264,3.16,12.34
"158",802,"A.J. Pollock","outfield",497,57,10,51,16,0.262,3.15,12.33
"159",807,"Drew Stubbs","outfield",409,56,13,50,17,0.259,3.14,12.3
"160",473,"Mike Moustakas","third_base",478,57,17,61,3,0.248,3.13,12.23
"161",191,"Shane Victorino","outfield",395,56,10,48,11,0.266,3.11,12.19
"162",825,"David Freese","third_base",478,57,12,57,3,0.26,3.09,12.11
"163",28,"Scooter Gennett","second_base",512,57,10,52,8,0.27,3.03,11.92
"164",683,"Trevor Plouffe","third_base",462,57,16,60,2,0.248,3.01,11.86
"165",718,"Adam Lind","first_base",470,61,19,68,1,0.272,2.94,11.63
"166",241,"Alex Rios","outfield",492,55,10,58,17,0.265,2.85,11.34
"167",151,"Mookie Betts","outfield",345,52,8,41,16,0.284,2.81,11.2
"168",822,"Marlon Byrd","outfield",507,55,17,63,3,0.245,2.77,11.06
"169",44,"Arismendy Alcantara","outfield",514,58,14,55,19,0.237,2.73,10.93
"170",414,"Howie Kendrick","second_base",507,55,9,58,8,0.275,2.7,10.85
"171",555,"Steven Souza","outfield",415,55,16,55,19,0.246,2.7,10.83
"172",337,"Miguel Montero","catcher",361,43,9,43,2,0.249,2.65,10.67
"173",316,"Robinson Chirinos","catcher",384,44,12,46,2,0.236,2.63,10.62
"174",429,"Jed Lowrie","shortstop",502,61,12,58,1,0.258,2.62,10.59
"175",288,"Carlos Ruiz","catcher",386,41,8,41,4,0.26,2.58,10.46
"176",477,"Matt Dominguez","third_base",519,57,18,63,1,0.23,2.45,10.02
"177",201,"Jhonny Peralta","shortstop",514,59,15,64,3,0.256,2.44,9.99
"178",638,"Chris Coghlan","outfield",460,57,8,44,10,0.25,2.4,9.87
"179",335,"Matt Joyce","outfield",422,56,13,53,5,0.241,2.36,9.71
"180",740,"Chris Iannetta","catcher",347,46,10,40,3,0.224,2.31,9.58
"181",185,"Omar Infante","second_base",483,54,7,49,7,0.273,2.17,9.11
"182",635,"Derek Norris","catcher",353,42,12,42,3,0.235,2.16,9.06
"183",117,"Kolten Wong","second_base",476,55,11,51,17,0.257,2.14,9
"184",669,"Seth Smith","outfield",403,54,11,50,2,0.249,2.05,8.7
"185",658,"David Lough","outfield",477,54,9,50,14,0.254,2.04,8.68
"186",438,"James Loney","first_base",548,61,11,63,3,0.271,1.99,8.53
"187",684,"Alex Avila","catcher",334,43,10,40,2,0.23,1.93,8.31
"188",707,"Brandon Phillips","second_base",495,53,12,55,4,0.259,1.91,8.24
"189",814,"Matt Adams","first_base",472,57,19,69,3,0.268,1.9,8.22
"190",631,"Josmil Pinto","catcher",316,39,10,39,2,0.248,1.85,8.05
"191",33,"Jon Singleton","first_base",501,66,22,67,4,0.214,1.82,7.97
"192",105,"Kennys Vargas","dh",478,60,20,69,1,0.25,1.8,7.9
"193",207,"David DeJesus","outfield",441,56,9,44,6,0.238,1.77,7.8
"194",600,"Alcides Escobar","shortstop",562,60,5,50,23,0.26,1.7,7.58
