"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"527","Javy Guerra","pitcher","7407",45,4.63,1.46,0,2,36,-3.77,-10.62
"570","Carlos Rodon","pitcher","sa598286",28,4.39,1.51,0,2,32,-3.79,-10.68
"93","Steven Matz","pitcher","sa500832",20,3.38,1.23,0,1,19,-3.8,-10.71
"582","Taylor Jungmann","pitcher","sa455475",47,4.93,1.51,0,3,34,-3.81,-10.73
"360","Stolmy Pimentel","pitcher","6415",30,3.91,1.33,0,1,24,-3.81,-10.74
"232","C.C. Lee","pitcher","5177",25,3.85,1.31,0,1,24,-3.81,-10.74
"575","Mike Pelfrey","pitcher","5203",73,5.21,1.52,0,4,44,-3.82,-10.75
"336","Rich Hill","pitcher","4806",25,3.84,1.38,0,1,27,-3.84,-10.82
"427","J.R. Graham","pitcher","sa579841",35,4.47,1.42,0,2,24,-3.85,-10.84
"508","Daniel Webb","pitcher","10558",40,4.52,1.53,0,2,36,-3.85,-10.86
"539","Ryan Tepera","pitcher","sa502039",30,4.52,1.43,0,2,24,-3.87,-10.9
"431","David Rollins","pitcher","sa455425",30,4.1,1.36,0,1,25,-3.88,-10.94
"261","Cory Gearrin","pitcher","7947",25,3.65,1.37,0,1,22,-3.89,-10.95
"490","Matt Harrison","pitcher","5551",28,4.4,1.4,0,2,19,-3.89,-10.97
"487","Jake Buchanan","pitcher","10962",40,4.66,1.39,0,2,22,-3.89,-10.97
"278","Rob Scahill","pitcher","9286",25,3.81,1.32,0,1,20,-3.9,-10.98
"514","Kyle Lobstein","pitcher","9178",38,4.75,1.43,0,2,27,-3.9,-10.98
"569","Drew VerHagen","pitcher","13424",48,4.99,1.46,0,3,25,-3.9,-10.99
"127","Casey Kelly","pitcher","9174",20,3.62,1.25,0,1,17,-3.9,-10.99
"332","Steve Geltz","pitcher","8402",20,3.69,1.32,0,1,21,-3.91,-11
"123","Jaime Garcia","pitcher","8137",19,3.65,1.22,0,1,16,-3.91,-11.02
"606","Christian Bergman","pitcher","10925",63,5.42,1.44,0,3,36,-3.96,-11.15
"399","Brad Hand","pitcher","9111",29,4.11,1.39,0,1,24,-3.96,-11.15
"308","Rob Wooten","pitcher","8532",25,4.05,1.33,0,1,19,-3.98,-11.22
"526","Archie Bradley","pitcher","sa597753",28,4.52,1.5,0,2,23,-3.99,-11.23
"210","Austin Adams","pitcher","7411",20,3.93,1.32,0,1,19,-3.99,-11.23
"273","Lester Oliveros","pitcher","9167",20,3.87,1.35,0,1,20,-3.99,-11.23
"571","Gus Schlosser","pitcher","12321",30,4.87,1.49,1,2,20,-3.99,-11.24
