"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"1851","Dixon Machado","shortstop",30,3,0,3,1,0.216,-13.14,-41.03
"861","Ivan De Jesus","dh",1,0,0,0,0,0.257,-13.16,-41.07
"1318","Jay Austin","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"1574","Devin Harris","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2047","Trent Mummey","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2273","Luis Tejada","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2455","Reggie Keen","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2541","Dexter Kjerstad","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2561","Kelvin Encarnacion","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2642","John Schultz","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2731","Gabriel Guerrero","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2743","Maikis De La Cruz","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2834","Gustavo Martinez","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2927","Freeman Jenkins","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2932","Ryan Mcintyre","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2949","Jonathan Schwind","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"2965","Tyler Chism","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"3600","Edson Garcia","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"3645","Tyler Horan","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"3767","Omar Carrizales","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"3990","Justin Maffei","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"4140","Bobby Boyd","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"4181","Joantgel Segovia","outfield",1,0,0,0,0,0.197,-13.18,-41.14
"1167","Michael Fisher","shortstop",1,0,0,0,0,0.23,-13.18,-41.15
"1235","Josh Horton","shortstop",1,0,0,0,0,0.23,-13.18,-41.15
"1484","Garabez Rosa","shortstop",1,0,0,0,0,0.23,-13.18,-41.15
"946","Mario Valenzuela","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"1758","Zeke Devoss","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"1993","Christian Zazueta","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2007","Carlos Alvarez","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2029","Abraham Valencia","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2034","Francisco Williams","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2093","Cory Vaughn","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2415","Justin Miller","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"2941","Cody Grice","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3077","Carlos Harper","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3127","Jimmy Bosco","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3164","Cesar Del Angel","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3374","Austin Dean","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3475","Zach Larson","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3901","Forrestt Allday","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3976","Nolan Earley","outfield",1,0,0,0,0,0.196,-13.22,-41.29
"3392","Joey Wendle","dh",30,3,1,3,0,0.238,-13.22,-41.29
"987","Hainley Statia","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"1507","Yadil Mujica","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"1554","Brandon Wikoff","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"1889","Heiker Menses","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"2641","Matt Reynolds","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"3346","Corey Seager","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"3781","Juremi Profar","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"4126","Michael De Leon","shortstop",1,0,0,0,0,0.229,-13.23,-41.29
"836","Chipper Jones","dh",1,0,0,0,0,0.255,-13.24,-41.35
"4347","Andrew Ely","dh",1,0,0,0,0,0.255,-13.24,-41.35
"67","Cody Ransom","third_base",1,0,0,0,0,0.2,-13.25,-41.38
"422","Todd Helton","first_base",1,0,0,0,0,0.253,-13.26,-41.41
"1255","Jaren Matthews","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1368","Mitchell Levier","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1419","Wesley Freeman","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1607","Travis Witherspoon","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1926","Jesus Solorzano","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1955","Raul Fortunato","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"2594","Robert Crocker","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"2846","Roman Quinn","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"2858","Kes Carter","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"2920","Jeff Holm","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"3148","Jared King","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"3565","Alex Hudak","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"3934","Chad Hinshaw","outfield",1,0,0,0,0,0.195,-13.27,-41.43
"1016","P.J. Phillips","shortstop",1,0,0,0,0,0.228,-13.27,-41.44
"1622","Sean Nicol","shortstop",1,0,0,0,0,0.228,-13.27,-41.44
"3160","Eric Stamets","shortstop",1,0,0,0,0,0.228,-13.27,-41.44
"519","Mauro Gomez","dh",1,0,0,0,0,0.254,-13.29,-41.5
"1052","Henry Wrigley","dh",1,0,0,0,0,0.254,-13.29,-41.5
"52","Adam Duvall","first_base",49,5,2,6,0,0.222,-13.31,-41.57
"80","Rick Ankiel","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"922","Chris Walker","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"1064","James Simmons","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"1619","Steven Liddle","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"1696","Wande Olabisi","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"2247","Luigi Rodriguez","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"2374","Ulises Montilla","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"2450","Steven Ramos","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"3542","Breland Almadova","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"3616","Jordan Patterson","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"3954","Jason Kanzler","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"4052","Ronnie Mitchell","outfield",1,0,0,0,0,0.194,-13.31,-41.58
"1278","Oscar Tejeda","shortstop",1,0,0,0,0,0.227,-13.31,-41.58
"1284","Domnit Bolivar","shortstop",1,0,0,0,0,0.227,-13.31,-41.58
"1487","Derrik Gibson","shortstop",1,0,0,0,0,0.227,-13.31,-41.58
"1649","Kevin Nolan","shortstop",1,0,0,0,0,0.227,-13.31,-41.58
"73","Jesus Aguilar","first_base",29,3,1,3,0,0.234,-13.33,-41.63
"535","Lance Berkman","dh",1,0,0,0,0,0.253,-13.33,-41.64
"1339","Alden Carrithers","dh",1,0,0,0,0,0.253,-13.33,-41.64
"930","Steve Moss","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"1103","Aaron Senne","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"1576","Kyle Rose","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"1793","Michael Ratterree","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"1942","Wander Ramos","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"2901","Shawon Dunston","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"3383","Chuck Taylor","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"3531","Mike Mcquillan","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"4350","Luke Tendler","outfield",1,0,0,0,0,0.193,-13.35,-41.72
"985","Jeff Dominguez","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"997","Wladimir Sutil","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1049","Ray Chang","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1155","Nate Samson","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1260","Joe Becker","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1662","Joey Wong","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1848","Leonardo Reginatto","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"3841","Tim Anderson","shortstop",1,0,0,0,0,0.226,-13.36,-41.72
"1876","Erik Gonzalez","shortstop",12,1,0,1,0,0.221,-13.36,-41.73
"953","Oscar Ramirez","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1259","Justin Bass","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1455","Julio Aparicio","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1680","Rashawn Payne","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1798","Jeremy Baltz","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1825","Eduardo Sosa","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1881","Ariel Soriano","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1946","Yeicok Calderon","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"2133","Jhohan Acevedo","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"2306","Christopher Hawkins","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"2880","Dillon Thomas","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"3144","Dan Gulbransen","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"3418","Daniel Pigott","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"3959","Dustin Fowler","outfield",1,0,0,0,0,0.192,-13.4,-41.86
"1022","Chris Gutierrez","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"1153","Wilberto Ortiz","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"1211","Brian Friday","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"1403","Addison Maruszak","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"1631","Casey Frawley","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"2615","Kevin Medrano","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"3087","Yhoxian Medina","shortstop",1,0,0,0,0,0.225,-13.4,-41.87
"197","Lew Ford","dh",1,0,0,0,0,0.251,-13.42,-41.93
"1099","Ryan Khoury","dh",1,0,0,0,0,0.251,-13.42,-41.93
"1452","Buck Britton","dh",1,0,0,0,0,0.251,-13.42,-41.93
"254","Dan Johnson","first_base",35,5,1,5,0,0.222,-13.42,-41.94
"304","Chris Marrero","first_base",1,0,0,0,0,0.249,-13.43,-41.98
"1101","Nick Akins","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"1647","Rand Smith","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"1815","Angelberth Montilla","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"1948","Ericson Leonora","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"2202","Justin Gominsky","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"2366","James Mcdonald","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"2623","Christopher Ellison","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"2826","Wilman Rodriguez","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"3532","Chris Carlson","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"3955","Julian Ridings","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"4362","Michael Pritchard","outfield",1,0,0,0,0,0.191,-13.44,-42.01
"623","Chase d'Arnaud","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1133","Estarlin De Los Santos","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1135","Amadeo Zazueta","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1201","Matt Cline","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1337","Jason Christian","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1898","Elmer Reyes","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"1954","Diego Goris","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"2934","Sean Jamieson","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"3381","Alejandro Mejia","shortstop",1,0,0,0,0,0.224,-13.44,-42.01
"290","Luis Jimenez","dh",1,0,0,0,0,0.25,-13.46,-42.07
"1081","Jim Negrych","dh",1,0,0,0,0,0.25,-13.46,-42.07
"2098","Dean Green","dh",1,0,0,0,0,0.25,-13.46,-42.07
"2132","Breyvil Valera","dh",1,0,0,0,0,0.25,-13.46,-42.07
"2355","Brett Tanos","dh",1,0,0,0,0,0.25,-13.46,-42.07
"271","Paul Konerko","first_base",1,0,0,0,0,0.248,-13.48,-42.12
"693","Nick Evans","first_base",1,0,0,0,0,0.248,-13.48,-42.12
"933","Matt Padgett","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"1536","Telvin Nash","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"1580","Jonathan Garcia","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"1912","Roberto Reyes","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"1931","Eudy Pina","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"3468","Yogey Perez-Ramos","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"3539","Chad Christensen","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"3551","Jordan Walton","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"4026","Michael Fish","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"4068","Alex Palma","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"4147","Max Murphy","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"4237","Manuel Melendez","outfield",1,0,0,0,0,0.19,-13.49,-42.15
"1024","Jonathan Mota","shortstop",1,0,0,0,0,0.223,-13.49,-42.15
"1032","Jose Castro","shortstop",1,0,0,0,0,0.223,-13.49,-42.15
"1187","Sergio Miranda","shortstop",1,0,0,0,0,0.223,-13.49,-42.15
"1773","Darnell Sweeney","shortstop",1,0,0,0,0,0.223,-13.49,-42.15
"1839","Carlos Perdomo","shortstop",1,0,0,0,0,0.223,-13.49,-42.15
"25","Rafael Ortega","dh",1,0,0,0,0,0.249,-13.51,-42.21
"1511","Donell Linares","dh",1,0,0,0,0,0.249,-13.51,-42.21
"3626","Tony Kemp","dh",1,0,0,0,0,0.249,-13.51,-42.21
"251","Greg Dobbs","first_base",1,0,0,0,0,0.247,-13.52,-42.27
"770","Matthew Clark","first_base",1,0,0,0,0,0.247,-13.52,-42.27
"949","Leobardo Arauz","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"1231","Denny Almonte","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"1437","Marcus Knecht","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"1917","Romy Jimenez","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"1982","Jorge Guzman","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"2260","Alexander Mercedes","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"2353","JaDamion Williams","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"2372","Austin Wilson","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"2579","Dionis Hinojosa","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"2638","Chaz Frank","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"3516","Evan Van Hoosier","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"3606","Randy Reyes","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"3910","Daniel Rockett","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"4047","Ian Miller","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"4191","Cesar Diaz","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"4282","Ryan Bottger","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"4316","Brian Langlois","outfield",1,0,0,0,0,0.189,-13.53,-42.29
"601","Omar Quintanilla","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"979","Seth Bynum","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"1186","Jaime Pedroza","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"1512","Edwin Garcia","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"1670","Antonio Lamas","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"2558","Leo Rodriguez","shortstop",1,0,0,0,0,0.222,-13.53,-42.3
"218","Hector Luna","dh",1,0,0,0,0,0.248,-13.55,-42.36
"404","Jim Thome","dh",1,0,0,0,0,0.248,-13.55,-42.36
"699","David Cooper","dh",1,0,0,0,0,0.248,-13.55,-42.36
"1023","Mike Paulk","dh",1,0,0,0,0,0.248,-13.55,-42.36
"2122","Tim Smalling","dh",1,0,0,0,0,0.248,-13.55,-42.36
"941","Efren Espinoza","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1708","Raoul Torrez","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1766","Jabari Henry","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1900","Julian Yan","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1952","Jesus Vasquez","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1961","Gregory Lorenzo","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"2026","Alejandro Gonzalez","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"2111","Carlos Ibarra","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"2275","Wagner Mateo","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"2868","C.J. Mcelroy","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"2952","Jose Colorado","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"3097","Cody Livesay","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"3166","Yoandy Barroso","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"3349","Lewis Brinson","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"3393","Joey Curletta","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"4208","Jose Medina","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"4266","Alex Verdugo","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"4283","Logan Moon","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"4349","Trey Vavra","outfield",1,0,0,0,0,0.188,-13.57,-42.44
"1116","Robi Estrada","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"1324","Niko Vasquez","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"1335","Greg Miclat","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"2300","Rick Hague","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"2312","Carter Jurica","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"2382","Drew Maggi","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"3630","Pat Valaika","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"3635","Tyler Smith","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"3941","Ryan Gebhardt","shortstop",1,0,0,0,0,0.221,-13.58,-42.44
"65","Andy Wilkins","first_base",12,1,1,2,0,0.238,-13.59,-42.48
"272","Carlos Lee","dh",1,0,0,0,0,0.247,-13.59,-42.5
"406","Omar Vizquel","dh",1,0,0,0,0,0.247,-13.59,-42.5
"2090","Mark Canha","dh",1,0,0,0,0,0.247,-13.59,-42.5
"2144","Ronnie Torreyes","dh",1,0,0,0,0,0.247,-13.59,-42.5
"913","Jesus Cota","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1314","Anthony Hewitt","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1565","Cody Rogers","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1693","Ryan Scoma","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1821","Felix Sanchez","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1856","Sergio Garcia","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"1976","Corey Adamson","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"2471","Drew Martinez","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"2506","James Ramsay","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"2526","Patrick Smith","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"2640","Steve Nyisztor","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"2758","Victor Cruzado","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"3177","Cesar Rodriguez","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"3422","Brett Vertigan","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"3918","CoCo Johnson","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"4003","Nick Longhi","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"4333","J.P. Sportman","outfield",1,0,0,0,0,0.187,-13.62,-42.58
"995","Reegie Corona","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1045","Luis Nunez","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1054","Walter Ibarra","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1197","Mark Hallberg","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1319","Tyler Ladendorf","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1388","Beamer Weems","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"1476","Gabriel Noriega","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"2609","Zach Osborne","shortstop",1,0,0,0,0,0.22,-13.62,-42.59
"167","Hiroyuki Nakajima","dh",1,0,0,0,0,0.246,-13.64,-42.64
"423","Brad Eldred","dh",1,0,0,0,0,0.246,-13.64,-42.64
"678","Drew Sutton","dh",1,0,0,0,0,0.246,-13.64,-42.64
"1254","Shawn Roof","dh",1,0,0,0,0,0.246,-13.64,-42.64
"2329","Rangel Ravelo","dh",1,0,0,0,0,0.246,-13.64,-42.64
"3019","David Bergin","dh",1,0,0,0,0,0.246,-13.64,-42.64
"230","Casey Kotchman","first_base",1,0,0,0,0,0.244,-13.65,-42.7
"1243","Taiwan Easterling","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1266","Virgil Hill","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1298","Wang-Wei Lin","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1596","Ronnie Richardson","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1842","Exicardo Cayones","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1897","Junior Arias","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"1957","Luis Domoromo","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2020","Daniel Hinojosa","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2285","Adonis Pacheco","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2535","Brandon Miller","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2588","Derek Jones","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2685","Juan Camacho","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"2898","Pedro Miranda","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3203","Victor Reyes","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3222","Erwin Almonte","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3478","Quinten Davis","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3499","Lance Roenicke","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3573","Brian Billigen","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3633","Adam Engel","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3752","Franklin Guzman","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3905","Omar Garcia","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"3967","Dan Collins","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"4083","Greg Zebrack","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"4268","Carlos Vidal","outfield",1,0,0,0,0,0.186,-13.66,-42.72
"171","Nick Green","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"229","Carlos Triunfel","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"394","Justin Sellers","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"929","Olmo Rosario","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"1947","Ali Castillo","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"2104","Chris Bisson","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"2562","Wilmer Difo","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"2589","Matt Williams","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"2842","Trevor Story","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"3942","Giuseppe Papaccio","shortstop",1,0,0,0,0,0.219,-13.66,-42.73
"397","Mat Gamel","dh",1,0,0,0,0,0.245,-13.68,-42.79
"780","Lars Anderson","dh",1,0,0,0,0,0.245,-13.68,-42.79
"2460","Ji-Man Choi","dh",1,0,0,0,0,0.245,-13.68,-42.79
"552","Neftali Soto","first_base",1,0,0,0,0,0.243,-13.7,-42.84
"566","Daric Barton","first_base",1,0,0,0,0,0.243,-13.7,-42.84
"1460","David Medina","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1665","Victor Roache","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1671","Enrique Trujillo","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1780","Nick Schwaner","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1823","Jefry Sierra","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1884","Janelfry Zorrilla","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"2430","D.K. Carey","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"2461","Guillermo Pimentel","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"2539","Tyler Marincov","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"2578","Dubal Baez","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3112","Joey Meneses","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3210","Bladimil Franco","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3218","Denzel Richardson","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3405","Ian Parmley","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3407","Marty Gantt","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3621","Robert Pehl","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3725","Magneuris Sierra","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3780","Luis Terrero","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3808","Jean Angomas","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"3887","Corey Simpson","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"4099","Oscar Ramirez","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"4247","Victor Robles","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"4252","Ramon Marcelino","outfield",1,0,0,0,0,0.185,-13.71,-42.87
"1076","Helder Velazquez","shortstop",1,0,0,0,0,0.218,-13.71,-42.87
"1308","Gustavo Nunez","shortstop",1,0,0,0,0,0.218,-13.71,-42.87
